tool,class,confidence,runtime,launch,tests,tools,docs,other,strong_total
tools/__init__.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,7,0,2
tools/adjudicate_hcc_benign_mimic.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/align_openswisshcc.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,0,0,1
tools/align_openswisshcc_holdout.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/analyze_medsiglip_external_recalibration.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/analyze_openswisshcc_v11_v13_complementarity.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/analyze_openswisshcc_volumetric_fusion.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/assemble_best_worst_case_folders.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_liver_mask_geometry_quality.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/audit_liver_mri_dataset.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/audit_lld_mmri_v23_geometry.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/audit_mesh_topology_quality.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/audit_monophase_external_failures.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_arterial_union_pilot_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_axial_atlas_v17.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/audit_openswisshcc_candidate_localization_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_enhancement_localizer_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_holdout_blind.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_multisequence.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/audit_openswisshcc_v23_errors.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/benchmark_liver_segmentation_v2.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/bootstrap_argos_mac.sh,TOOLCHAIN_ONLY,STRONG,0,0,0,1,1,0,2
tools/build_anatomic_material_textures.py,TEST_REFERENCED_ONLY,STRONG,0,0,1,0,1,0,2
tools/build_chaos_v21_panels.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_dicom_quality_showcase.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_internal_blind_benchmark_120.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_liver_candidate_dataset.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,1
tools/build_liverhccseg_v21_panels.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_lld_mmri_v23_enhancement_panels.py,DOC_REFERENCED_ONLY,WEAK,0,0,0,0,1,0,0
tools/build_lld_mmri_v23_full_fov_pilot.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_lld_mmri_v23_liver_enriched_pilot.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_lld_mmri_v23_panels.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/build_lld_mmri_v23_roi_ceiling_t2dwi_embedding_pilot.py,TEST_REFERENCED_ONLY,STRONG,0,0,1,0,1,0,1
tools/build_lld_mmri_v23_shape.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_localized_candidate_features.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_localized_candidate_supervision.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_medsiglip_monophase_dataset.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_monophase_complementary_candidates.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_monophase_slice_candidates.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswiss_monophase_atlas_candidates.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswisshcc_axial_atlas_v17.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/build_openswisshcc_candidate_enhancement_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswisshcc_candidate_shape_v23.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswisshcc_candidate_volume_fallback_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswisshcc_candidate_volume_full87_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
